base_id,condition,hop_depth,error_type,final_correct,final_absurd,max_probe_score,mean_probe_score,fired_at_least_once,n_interventions
2hop_percentage_0046,baseline,2,wrong_operator,False,False,0.99999997602685,0.5515574681633808,True,0
2hop_percentage_0046,reprompt,2,wrong_operator,False,False,0.99999997602685,0.5515574681633808,True,1
2hop_percentage_0046,replace_prior,2,wrong_operator,False,False,0.6350375168374168,0.3690762385686642,False,1
2hop_percentage_0046,branch_and_pick,2,wrong_operator,False,False,0.999999996195532,0.5515574782477218,True,1
3hop_percentage_chain_0043,baseline,3,magnitude_error,False,True,0.999999956517945,0.6668951533703761,True,0
3hop_percentage_chain_0043,reprompt,3,magnitude_error,False,False,0.999999956517945,0.6668951533703761,True,2
3hop_percentage_chain_0043,replace_prior,3,magnitude_error,False,False,0.0072486439514769,0.0046732156813278,False,1
3hop_percentage_chain_0043,branch_and_pick,3,magnitude_error,False,False,0.9999999892784922,0.6669884334643071,True,2
2hop_counting_0015,baseline,2,off_by_one,False,False,0.9961697088636572,0.5116207910268222,True,0
2hop_counting_0015,reprompt,2,off_by_one,False,False,0.9961697088636572,0.5116207910268222,True,1
2hop_counting_0015,replace_prior,2,off_by_one,False,False,0.041365537705413,0.0342187054477001,False,1
2hop_counting_0015,branch_and_pick,2,off_by_one,False,False,0.9980641817270592,0.5125680274585233,True,1
2hop_fractions_0026,baseline,2,wrong_operator,False,True,0.9999925015077434,0.5004624249188199,True,0
2hop_fractions_0026,reprompt,2,wrong_operator,False,True,0.9999925015077434,0.5004624249188199,True,1
2hop_fractions_0026,replace_prior,2,wrong_operator,False,False,0.0009323483298963,0.0008273356128474,False,1
2hop_fractions_0026,branch_and_pick,2,wrong_operator,False,True,0.9999891849491764,0.5004607666395363,True,1
4hop_multi_stage_allocation_0016,baseline,4,wrong_operator,False,False,0.9999999998279878,0.7513297206358058,True,0
4hop_multi_stage_allocation_0016,reprompt,4,wrong_operator,False,False,0.9999999998279878,0.7513297206358058,True,3
4hop_multi_stage_allocation_0016,replace_prior,4,wrong_operator,False,False,0.0055150113011132,0.002120262465562,False,1
4hop_multi_stage_allocation_0016,branch_and_pick,4,wrong_operator,False,False,0.999999999304192,0.7513784165941058,True,3
2hop_arithmetic_0021,baseline,2,wrong_operator,False,False,0.9999999766911808,0.5274054939411241,True,0
2hop_arithmetic_0021,reprompt,2,wrong_operator,False,False,0.9999999766911808,0.5274054939411241,True,1
2hop_arithmetic_0021,replace_prior,2,wrong_operator,False,False,0.4621229899906924,0.2584670005908799,False,1
2hop_arithmetic_0021,branch_and_pick,2,wrong_operator,False,False,0.9999999786105452,0.5274054949008062,True,1
2hop_fractions_0022,baseline,2,wrong_unit,False,False,0.9999995425662536,0.5000857713136132,True,0
2hop_fractions_0022,reprompt,2,wrong_unit,False,False,0.9999995425662536,0.5000857713136132,True,1
2hop_fractions_0022,replace_prior,2,wrong_unit,False,False,0.6571952860197646,0.3286836430403688,False,1
2hop_fractions_0022,branch_and_pick,2,wrong_unit,False,False,0.99999996256706,0.5000859813140165,True,1
3hop_compound_rate_0002,baseline,3,wrong_unit,False,False,0.9991836238705932,0.6653855391671596,True,0
3hop_compound_rate_0002,reprompt,3,wrong_unit,False,False,0.9991836238705932,0.6653855391671596,True,2
3hop_compound_rate_0002,replace_prior,3,wrong_unit,False,False,0.8690031284714815,0.2928050367571641,False,1
